Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P006384,Latin America and Caribbean,Federative Republic of Brazil,Dropped,URB SEC III (MED CIT)-93S,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006384,,,,,,,,,,,Specific Investment Loan,,,,,,,
P007082,Latin America and Caribbean,Republic of Ecuador,Closed,MILAGRO IRRIGATION I,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007082,,,,,,,,,,,Specific Investment Loan,,,Irrigation and Drainage,,,,
P035719,Latin America and Caribbean,Republic of Guatemala,Dropped,Decentralized Basic Environmental Services Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P035719,,,,,,,,,,,Specific Investment Loan,B,,,,,,
P035725,Latin America and Caribbean,Republic of Trinidad and Tobago,Dropped,Drainage and Flood Control Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P035725,,,,,0,,,0,,,Sector Investment and Maintenance Loan,B,,(Historic)Other water supply and sanitation,,,,
P094062,Latin America and Caribbean,Central America,Dropped,Conservation and Sustainable Use of Neotropical Native Crops and Wild Relatives of Crops,"The proposed project will contribute to the global goal of improved agrobiodiversity conservation by focusing on three objectives specific to Central America:    ∑,,Application of genetic diversity knowledge for targeting wild relatives of crops in the Mesoamerican Corridor within overall conservation efforts;    ∑,,Capacity building and promotion of policies fostering agrobiodversity conservation in the region; and    ∑,,Increasing potential benefits to farmers and rural communities from integrating biodiversity conservation in their agriculture practices and sustainable use of natural resources.    The project will support participating countries in implementing two important international treaties: the Conservation on Biological Diversity and the International Treaty on Plant Genetic Resources for Food and Agriculture. This will be done through applied research using recent advances in genomic and geographic sciences and though the promotion of policies and capacity building for the implementation of integrated conservation of wild relatives of crops. This project is being dropped by the Sector Manager on behalf of the TTL, Nadim Khouri, who is no longer in the Region.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P094062,,,,,0,,,0,,,Specific Investment Loan,B,,Crops,"Other Agriculture, Fishing and Forestry","Agricultural Extension, Research, and Other Support Activities",,
P095571,Latin America and Caribbean,Oriental Republic of Uruguay,Dropped,UY Power Sector Interconnection Project,NONE,,,https://projects.worldbank.org/en/projects-operations/project-detail/P095571,,,,,0,,,0,,,Specific Investment Loan,B,,Other Energy and Extractives,,,,
P100532,Latin America and Caribbean,Republic of Ecuador,Dropped,Second Rural Poverty Alleviation and Local Development Project,NONE,,,https://projects.worldbank.org/en/projects-operations/project-detail/P100532,,,,,0,,,0,,,Specific Investment Loan,B,,"Other Agriculture, Fishing and Forestry",,,,
P110612,Latin America and Caribbean,Argentine Republic,Dropped,Sustainable Industrial Development,"The objective is to support small and medium enterprises in Argentina with inadequate access to credit to improve their compliance with environmental regulations, while simultaneously boosting their industrial competitiveness.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P110612,,,,,0,,,0,,,Adaptable Program Loan,B,,"Other Industry, Trade and Services",,,,
P108801,Latin America and Caribbean,Republic of Panama,Dropped,Access to Finance,The objective is to expand access to financial services in Panama towards poverty alleviation.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P108801,,,,,0,,,0,,,Financial Intermediary Loan,F,,Micro- and SME finance,Other Non-bank Financial Institutions,,,
P089661,Latin America and Caribbean,Republic of Paraguay,Dropped,PY Social Security Reform TA,To be provided by assigned TTL.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P089661,,,,,0,,,0,,,Technical Assistance Loan,C,,Social Protection,,,,
