Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P151803,Latin America and Caribbean,Republic of Honduras,Closed,Honduras Fiscal Sustainability and Enhanced Social Protection DPC,Project Development Objective (Note: will be disclosed in the MOS)  The Program Development Objective of the DPL series is to support the Government of Honduras to promote macroeconomic stability and enhance the management of social policies. Board Schedule Comments,,,https://projects.worldbank.org/en/projects-operations/project-detail/P151803,2014-12-09T00:00:00Z,3/1/2016,,,55000000,,,55000000,,,Development Policy Lending,,,Other Public Administration,Social Protection,Energy Transmission and Distribution,,
P144271,Latin America and Caribbean,Republic of Colombia,Active,Forest Conservation and Sustainability in the Heart of the Colombian Amazon,"The project's global environmental objective (GEO) is the same as the project's development objective (PDO), namely, to improve governance and promote sustainable land use activities in order to reduce deforestation and conserve biodiversity in the Project area.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P144271,2014-12-08T00:00:00Z,11/30/2024,,,57850000,,,57850000,"22,400,000",,Investment Project Financing,B,,Forestry,Sub-National Government,Central Government (Central Agencies),,
P150743,Latin America and Caribbean,Republic of Nicaragua,Closed,Additional Financing for the NI PFM Modernization Project,The objective of the Project is to enhance the efficiency and transparency of the Recipientís public expenditure management andstrengthen the Recipientís statistics management capacity.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P150743,2014-12-08T00:00:00Z,,,,25000000,,,25000000,,,Investment Project Financing,C,,Public Administration - Financial Sector,Central Government (Central Agencies),,,
P149959,Latin America and Caribbean,St. Lucia,Closed,Geothermal Resource Development in Saint Lucia,"The development objective of the project is to provide support for GoSL to make an informed
decision regarding geothermal explorati on and development in Saint Lucia by undertaking key
upstream preparatory activities. Such support would help the GoSL confirm area s for drilling,
partner with a qualified developer, and design a geothermal exploration/resource confirmation
program for sustaina ble implementation ñ all in line with good industry practices and
international standards.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P149959,2014-12-03T00:00:00Z,1/25/2019,,,1165000,,,1165000,,,Investment Project Financing,,,Renewable Energy Biomass,Renewable Energy Geothermal,Renewable Energy Solar,,
P133195,Latin America and Caribbean,Argentine Republic,Closed,Argentina Second Rural Education Improvement Project - PROMER-II,"The proposed Project Development Objective is to support the national Government to reduce repetition rates in Primary Education and increase enrollment in, and completion rates of, Secondary Education, all in Argentina's rural areas.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P133195,2014-12-02T00:00:00Z,12/22/2021,,,250500000,,,250500000,,,Investment Project Financing,B,,Secondary Education,Primary Education,Early Childhood Education,,
P149069,Latin America and Caribbean,Oriental Republic of Uruguay,Closed,Drought Eventsí Impact Mitigating Investment Project Financing,The Project Development Objective of the proposed operation is to enhance the Government of Uruguayís efforts to mitigate the effect of adverse weather conditions on its public sector accounts and to enhance the efficiency of its risk management framework used tomitigate these risks.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P149069,2014-12-02T00:00:00Z,5/17/2017,,,200000000,,,200000000,,,Investment Project Financing,C,,Public Administration - Energy and Extractives,Other Public Administration,Renewable Energy Hydro,,
P120899,Latin America and Caribbean,Republic of Colombia,Closed,Colombia FCPF REDD Readiness,Task Description The objective of the Grant is to assist a REDD Country Participant in the FCPF to formulate its Readiness Preparation Proposal(R-PP)  Board Schedule Comments,,,https://projects.worldbank.org/en/projects-operations/project-detail/P120899,2014-11-12T00:00:00Z,5/31/2014,,,0,,,0,,,Investment Project Financing,,,Forestry,,,,
P152415,Latin America and Caribbean,Belize,Closed,Belize FCPF REDD Readiness Preparation,The Project Development Objective is to assist Belize in carrying out Readiness Preparation through a participatory and inclusive pr ocess in order to strengthen their capacity to participate in future REDD+ carbon payment transactions.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P152415,2014-11-11T00:00:00Z,,,,0,,,0,,,Investment Project Financing,B,,Forestry,,,,
P145410,Latin America and Caribbean,Republic of Guatemala,Closed,Pilot to Improve the Development and Nutrition of Young Children in Poor Rural Areas in Guatemala,"The Development Objective is to strengthen the capacity of parents and communities to improve and monitor child development outcomes (physical, cognitive, socio-emotional and linguistic skills) for children under two in project intervention areas.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P145410,2014-11-07T00:00:00Z,6/30/2019,,,2750935,,,2750935,,,Investment Project Financing,,,Social Protection,Health,,,
P149858,Latin America and Caribbean,United Mexican States,Closed,Mexico Reducing Inequality of Educational Opportunity Project,The objectives of the Project are: (a) to improve parental competencies in early childhood development in targeted rural communities; and (b) increase the transition rate from the primary to the secondary education level in CONAFE-administered schools in targeted municipalities.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P149858,2014-10-24T00:00:00Z,12/31/2018,,,150000000,,,150000000,,,Investment Project Financing,C,,Primary Education,Early Childhood Education,Public Administration - Education,,
P147212,Latin America and Caribbean,United Mexican States,Closed,Mexico Social Protection System Project,"The proposed Project Development Objectives are to support the Governmentís effort to: (i) increase access of PROSPERA beneficiaries to social and productive programs, and (ii) develop instruments for an integrated social protection system.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P147212,2014-10-24T00:00:00Z,6/30/2021,,,350000000,,,350000000,,,Investment Project Financing,C,,Social Protection,Public Administration - Social Protection,,,
P147185,Latin America and Caribbean,United Mexican States,Closed,Mexico School Based Management Project,"The objective of the Project is to improve schools' managerial capacity and parental participation to reduce dropout, repetition and failure rates among Participating Schools.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P147185,2014-10-24T00:00:00Z,12/31/2018,,,819950000,,,819950000,,,Investment Project Financing,C,,Early Childhood Education,Public Administration - Education,Primary Education,,
P150876,Latin America and Caribbean,Republic of Paraguay,Closed,TEKOPOR√ Beneficiaries Empowered to Ensure Social Accountability,The Project's objective is to develop a model for civil society-government partnership for more transparent and accountable impleme ntation of Paraguay's Tekopor„ Conditional Cash Transfer (CCT) program.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P150876,2014-10-24T00:00:00Z,10/24/2019,,,600000,,,600000,,,Investment Project Financing,C,,Social Protection,,,,
P130593,Latin America and Caribbean,Federative Republic of Brazil,Closed,Additional Finance to Acre Social and Economic Inclusion and Sustainable Development Project,"The project will assist GoAc in its efforts to improve outcomes in economic opportunity, health and education for target populations in urban and rural areas.These improved outcomes will be achieved through the expansion of access to and improvement in the quality of basic health and education services, and increased technical expertise and improved organization in sustainable production methods and the development of selected productive sectors. To this end, the Project will support GoAc in its efforts to achieve the following eight project impacts:
  (a)	Student populations living in the most remote and disadvantaged areas of the State have better access to quality education programs in pre-school, elementary, and secondary levels;
 (b)	Young and adult populations living in the most remote and disadvantaged areas of the State have better access to literacy and life-long skills development programs;
 (c)	Poor and vulnerable populations across the State have improved access to basic health care services;
 (d)	All Acre‚Äôs maternal and neonatal populations benefit from higher quality health care services;
 (e)	The Government of Acre has stronger technical capacity for delivering basic health and education services;
 (f)	Poor urban communities located in river valleys engaged in entrepreneurial initiatives;
 (g)	Rural communities experience higher economic inclusion through improved access to agricultural extension services and stronger market chains for selected products;
 (h)	The State‚Äôs natural endowment is more securely managed through improved sustainable forest management practices; and 
 (i)	Intra-governmental coordination is strengthened between Acre‚Äôs municipalities and the Federal government, as well as across State agencies. The objective of the Project is to contribute to the Borrower's efforts to promote social and economic inclusion of its rural and ur ban poor, including its poorest and most disadvantaged population living in isolated areas in the Borrower's territory.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P130593,2014-09-29T00:00:00Z,,,,187500000,,,187500000,,,Investment Project Financing,A,,Other Education,Health,"Other Agriculture, Fishing and Forestry",,
P130474,Latin America and Caribbean,Belize,Closed,Management and Protection of Key Biodiversity Areas in Belize,The Project Development Objective (PDO) is to strengthen natural resource management and biodiversity conservation in Key Biodiversity Areas (KBAs) of Belize.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P130474,2014-09-29T00:00:00Z,9/30/2019,,,9085600,,,9085600,,,Investment Project Financing,B,,"Public Administration - Agriculture, Fishing & Forestry",Forestry,"Other Agriculture, Fishing and Forestry",,
P147483,Latin America and Caribbean,Dominican Republic,Closed,Caribbean Regional Communications Infrastructure Prog - Dominican Rep.,The project development objective is to increase access to regional broadband networks and advance the development of ICT-enabled services in the Dominican Republic and in the Caribbean Region.,,,https://projects.worldbank.org/en/projects-operations/project-detail/P147483,2014-09-25T00:00:00Z,6/30/2020,,,30000000,,,30000000,,,Investment Project Financing,B,,ICT Infrastructure,Public Administration - Information and Communications Technologies,ICT Services,,
