Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P106684,Latin America and Caribbean,Argentine Republic,Closed,AR PROSAP2 - Second Provincial Agricultural Development,"To increase the productivity and sales volume of small and medium-size producers.  To achieve this, the project's strategy involves technical assistance (TA), capacity-building activities, and direct investments that contribute to long-term improvements in agricultural productivity, as well as competitiveness and market access.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P106684,2008-09-25T00:00:00Z,3/15/2017,,,453000000,,,453000000,,,Specific Investment Loan,B,,Irrigation and Drainage,"Public Administration - Agriculture, Fishing & Forestry","Other Agriculture, Fishing and Forestry",,
P110614,Latin America and Caribbean,Federative Republic of Brazil,Closed,Sergipe State Integrated Project: Rural Poverty,"xThe project is an integral part of the Government of Sergipe's rural development with inclusion strategy. The project will (i) improve the rural poor's access to basic socioeconomic infrastructure, (ii) raise incomes and capital assets through investments in productive activities and increased linkages between small producers and markets, and (iii) strengthen the cross-sector integration of investments in rural areas through improved participatory planning and monitoring at the local, municipal and State levels.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P110614,2008-09-23T00:00:00Z,6/30/2012,,,27050000,,,27050000,,,Specific Investment Loan,B,,"Other Agriculture, Fishing and Forestry",Energy Transmission and Distribution,Water Supply,,
P111926,Latin America and Caribbean,Republic of Costa Rica,Closed,Costa Rica Catastrophe Deferred Draw Down Option (CAT DDO),DON'T PUB OLD REPORTED,,,https://projects.worldbank.org/en/projects-operations/project-detail/P111926,2008-09-16T00:00:00Z,10/30/2017,,,65000000,,,65000000,,,Development Policy Lending,,,"Other Water Supply, Sanitation and Waste Management",Other Transportation,Other Public Administration,,
P111839,Latin America and Caribbean,United Mexican States,Closed,SAVINGS AND RURAL FINANCE - SECOND PHASE - ADDITIONAL FINANCING II,"The SCI sector consists of a large number of robust entities which are compliant with the law, financially viable, operationally effective, managerially improved, and have enhanced levels of outreach and access to financial services by the underserved Mexican population.  The objective of the Project is to assist the Borrower in strengthening the SCI sector with SCIs which are compliant with the Popular Savings and Credit Law, financially viable, operationally effective, managerially sound, technologically upgraded, and providing an enhanced level of outreach and access to financial services by the underserved Mexican populations.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P111839,2008-09-09T00:00:00Z,,,,100000000,,,100000000,,,Specific Investment Loan,C,,Banking Institutions,Other Non-bank Financial Institutions,,,
P110655,Latin America and Caribbean,Dominican Republic,Closed,DO - Avian Influenza Prevention and Control,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P110655,2008-08-12T00:00:00Z,6/30/2011,,,1000000,,,1000000,,,Emergency Recovery Loan,C,,Fisheries,Livestock,"Agricultural Extension, Research, and Other Support Activities",,
P112023,Latin America and Caribbean,Republic of Honduras,Closed,Food Prices Crisis Supplemental to HN First Prog Fin Sec Dev Pol Credit,"The development goal of this operation is to support the Honduran Government?s efforts to consolidate the financial sector, so as to ensure its positive contribution to long term growth and poverty reduction.  IDA support for the Government?s financial sector reform program would be a programmatic development policy operation in two phases.  The first phase?the proposed Credit?would be executed over a period of two years.  The proposed Credit would support the institutional development of the financial sector through reforms in the following five areas: (i) Strategy for management of systemic risks (ii) Strengthening of legal and regulatory framework (iii) Anti money laundering and financing of terrorism prevention system (iv) Strengthening of supervision and control of systemic risks (v) Strengthening of the payments system.
  A second development policy credit would support an orderly consolidation of the financial system.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P112023,2008-08-07T00:00:00Z,,,,10200000,,,10200000,,,Development Policy Lending,,,Other Non-bank Financial Institutions,Banking Institutions,Services,,
P106623,Latin America and Caribbean,Barbados,Closed,Barbados Second HIV/AIDS Project,"The project would support the implementation of the 2008-2013 Barbados National HIV/AIDS Strategic Plan, specifically to increase: - Adoption of safe behaviors, in particular amongst key populations at higher risk. - Access to prevention, treatment and social care, in particular for key populations at higher risk. - Capacity of organizational and institutional structures that govern the NAP. - Use of quality data for problem identification, strategy definition and measuring results.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P106623,2008-08-07T00:00:00Z,11/30/2014,,,94390000,,,94390000,,,Specific Investment Loan,C,,Public Administration - Health,Health,,,
P106445,Latin America and Caribbean,Republic of Panama,Closed,Health Equity and Performance Improvement Project,"The Project Development Objectives of the proposed project are to: (i) increase access of targeted  underserved rural communities to quality basic health services known to help reduce under-five child mortality; and (ii) support the development of strategic planning, regulatory, and monitoring mechanisms known to improve health system performance.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P106445,2008-08-05T00:00:00Z,12/31/2014,,,58730000,,,58730000,,,Specific Investment Loan,B,,Insurance and Pension,Public Administration - Health,Health,,
P106686,Latin America and Caribbean,Republic of Panama,Closed,Basic Education Quality Improvement Project,"The Project Development Objective (PDO) seeks to support the Government of Panama to improve: (i) the quality of non-formal initial, basic (grades 1-9) and secondary (10-12) education programs; (ii) the coverage and internal efficiency of initial and basic education; and (iii) the strategic planning and institutional performance of the Ministry of Education at the central, regional and local levels. Improving equity is considered a transversal principle and therefore embedded in each component of the Project.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P106686,2008-08-05T00:00:00Z,12/31/2014,,,42000000,,,42000000,,,Specific Investment Loan,C,,Primary Education,Public Administration - Education,Early Childhood Education,,
P101590,Latin America and Caribbean,Republic of Peru,Closed,Second Programmatic Fiscal Mgmt and Competitiveness Development Policy Loan,"The development objective of the series of DPLs under this program is to support growth-enhancing reforms and poverty alleviation. The reform agenda supported by this loan focuses on two broad policy areas: (i) efficiency and quality of public expenditure, and (ii) improved competitiveness.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P101590,2008-08-05T00:00:00Z,1/16/2015,,,370000000,,,370000000,,,Development Policy Lending,,,Central Government (Central Agencies),Other Non-bank Financial Institutions,"Other Industry, Trade and Services",,
P106767,Latin America and Caribbean,Federative Republic of Brazil,Closed,RIO GRANDE DO SUL FISCAL SUSTAINABILITY,"The loan would support RGS government to resume a sustainable fiscal position which includes a smoother debt profile and a balanced social security scheme. In addition, the loan would contribute to improved public services through public sector management reforms. Similarly, a sustainable fiscal path would eventually expand fiscal space for investment to enhance the quality of public service provision, improve the economic growth prospects and reverse the deteriorating trend in social indicators",,,https://projects.worldbank.org/en/projects-operations/project-detail/P106767,2008-07-31T00:00:00Z,12/31/2010,,,1100000000,,,1100000000,,,Development Policy Lending,,,Sub-National Government,Other Public Administration,Public Administration - Social Protection,,
P110462,Latin America and Caribbean,Argentine Republic,Closed,Argentina Mining Environmental Restoration Project,"The development objectives of the project are to: (a) strengthen Government of Argentina's capacity to assess and mitigate environmental risks associated with closed uranium mines, processing sites, and related mining sector investments in accordance with international good practice; and (b) reduce potential economic and health damages associated with a closed uranium mining site in Malargue, Mendoza.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P110462,2008-07-31T00:00:00Z,6/27/2017,,,34250000,,,34250000,,,Specific Investment Loan,A,,Mining,Public Administration - Energy and Extractives,,,
P113637,Latin America and Caribbean,Federative Republic of Brazil,Closed,"Fundação Centro de Educação do Trabalhador Professor Florestan Fernandes (FFF),",,,,https://projects.worldbank.org/en/projects-operations/project-detail/P113637,2008-07-31T00:00:00Z,12/31/2011,,,114479,,,114479,,,Technical Assistance Loan,C,,Other Public Administration,,,,
P113426,Latin America and Caribbean,Republic of Costa Rica,Closed,Towards a neighbourhood Imprvmnt and Slum Eradication National Policy - Costa Rica,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P113426,2008-07-24T00:00:00Z,11/30/2013,,,500000,,,500000,,,Technical Assistance Loan,C,,Other Public Administration,Sub-National Government,"Other Water Supply, Sanitation and Waste Management",,
P111514,Latin America and Caribbean,Federative Republic of Brazil,Closed,Uruguaiana - RS Integrated Municipal Development Program,"The program objective is to strengthen the capacity of the municipalities of Bagé, Pelotas, Rio Grande, Santa Maria and Uruguaiana to provide selected infrastructure services and employment opportunities for their population.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P111514,2008-07-23T00:00:00Z,,,,11420000,,,11420000,,,Adaptable Program Loan,B,,Urban Transport,"Other Water Supply, Sanitation and Waste Management",Sub-National Government,,
P111511,Latin America and Caribbean,Federative Republic of Brazil,Closed,Bage - RS Integrated Municipal Development Program,"The program objective is to strengthen the capacity of the municipalities of Bagé, Pelotas, Rio Grande, Santa Maria and Uruguaiana to provide selected infrastructure services and employment opportunities for their population.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P111511,2008-07-23T00:00:00Z,,,,11000000,,,11000000,,,Adaptable Program Loan,B,,Urban Transport,Water Supply,Sanitation,,
P111940,Latin America and Caribbean,Federative Republic of Brazil,Closed,RMA Capacity Building and Institutional Development Project,"Contribute to the effective participation of the civil society in developing actions to mitigate the effects of global climate change in the Atlantic Rain Forest, ensuring the conservation and restoration of the Atlantic Rain Forest.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P111940,2008-07-22T00:00:00Z,12/30/2008,,,310000,,,310000,,,,C,,Forestry,,,,
P094315,Latin America and Caribbean,Federative Republic of Brazil,Closed,BR Municipal APL: Sao Luis Enhancing Municipal Governance and Quality of Life Project,"The objective of the São Luís Enhancing Municipal Governance and Quality of Life Project is to improve public service in the Bacanga Basin of São Luís Municipality, and enhance the capacity of the city government in promoting local economic development and municipal management.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P094315,2008-07-17T00:00:00Z,10/30/2015,,,59400000,,,59400000,,,Specific Investment Loan,A,,"Other Water Supply, Sanitation and Waste Management",Sub-National Government,Waste Management,,
P082927,Latin America and Caribbean,Republic of Chile,Closed,Promoting Innovation and Competitiveness Project,"The project#s overall development objective would be to enhance Chile#s policy a nd institutional innovation framework for competitiveness and improve the impact  of priority innovation programs. More specifically, the project#s objective is:  (i) to strengthen the Ministry of Economy#s capacity on innovation and ensure i ts coherence with other policies for competitiveness; (ii) strengthen CONICYT an d improve the coherence, quality and relevance of research funding policy in Chi le; and (iii) stimulate technology transfer and the creation of new technology b ased enterprises through CORFO.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P082927,2008-07-15T00:00:00Z,7/15/2010,,,70000000,,,70000000,,,Specific Investment Loan,C,,"Other Industry, Trade and Services","Public Administration - Industry, Trade and Services",Tertiary Education,,
P111708,Latin America and Caribbean,St. Lucia,Closed,Additional Financing to the St. Lucia Disaster Management Project II,"The project aims at further reducing the country's vulnerability to adverse natural events (hurricane, floods, etc.) through investment in risk management activities.  As such, the objectives of the project are to further strengthen (a) infrastructure against the impact of adverse natural events (hurricanes, flooding, etc.) through the implementation of physical mitigation measures; (b) the response capacity in case of adverse natural event (hurricane, flooding, etc) through capacity building, equipment purchase and investment in emergency infrastructure; and (c) the institutional capacity of the various ministries and agencies dealing with disaster management through the provision of adequate facilities, critical equipment, technical assistance and training.",,,https://projects.worldbank.org/en/projects-operations/project-detail/P111708,2008-07-15T00:00:00Z,,,,3960000,,,3960000,,,Specific Investment Loan,B,,"Other Water Supply, Sanitation and Waste Management",Other Transportation,Other Public Administration,,
