Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P007150,Latin America and Caribbean,Republic of El Salvador,Closed,Education Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007150,1974-06-04T00:00:00Z,12/31/1982,,,,,,,,,Specific Investment Loan,,,Primary Education,,,,
P006262,Latin America and Caribbean,Federative Republic of Brazil,Closed,Minas Gerais Water Supply and Sewerage Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006262,1974-06-04T00:00:00Z,8/15/1980,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Urban water supply,,,,
P006261,Latin America and Caribbean,Federative Republic of Brazil,Closed,Paulo Afonso Project (04) Hydroelectric Power,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006261,1974-06-04T00:00:00Z,6/30/1983,,,,,,,,,Specific Investment Loan,,,(Historic)Hydro,,,,
P007412,Latin America and Caribbean,Jamaica,Closed,Agriculture Credit Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007412,1974-05-28T00:00:00Z,12/31/1979,,,,,,,,,Financial Intermediary Loan,,,(Historic)Agricultural credit,,,,
P008086,Latin America and Caribbean,Republic of Trinidad and Tobago,Closed,Telecommunications Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008086,1974-05-16T00:00:00Z,12/31/1979,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Telecommunications and informatics,,,,
P007272,Latin America and Caribbean,Republic of Haiti,Closed,Highway Project (03),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007272,1974-05-16T00:00:00Z,3/31/1979,,,,,,,,,Specific Investment Loan,,,(Historic)Highways,,,,
P007413,Latin America and Caribbean,Jamaica,Closed,Sites and Services Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007413,1974-05-07T00:00:00Z,6/30/1982,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Urban housing,,,,
P007955,Latin America and Caribbean,Republic of Peru,Closed,Highway Project (06),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007955,1974-04-23T00:00:00Z,6/30/1981,,,,,,,,,Specific Investment Loan,,,(Historic)Highways,,,,
P006737,Latin America and Caribbean,Republic of Colombia,Closed,Preinvestment Studies Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006737,1974-03-05T00:00:00Z,12/31/1979,,,,,,,,,Technical Assistance Loan,,,(Historic)Public sector management adjustment,,,,
P007530,Latin America and Caribbean,United Mexican States,Closed,Irrigation Rio Panuco Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007530,1974-02-19T00:00:00Z,6/30/1982,,,,,,,,,Specific Investment Loan,,,Irrigation and Drainage,,,,
P007529,Latin America and Caribbean,United Mexican States,Closed,Irrigation Rio Sinaloa Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007529,1974-02-19T00:00:00Z,6/30/1982,,,,,,,,,Specific Investment Loan,,,Irrigation and Drainage,,,,
P007533,Latin America and Caribbean,United Mexican States,Closed,Highway Project (07),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007533,1974-02-12T00:00:00Z,6/30/1982,,,,,,,,,Specific Investment Loan,,,(Historic)Highways,,,,
P006596,Latin America and Caribbean,Republic of Chile,Closed,HWY MAINT.II SUPPLEM,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006596,1974-02-05T00:00:00Z,,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Highways,,,,
P006597,Latin America and Caribbean,Republic of Chile,Closed,Technical Assistance Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006597,1974-02-05T00:00:00Z,6/29/1979,,,,,,,,,Technical Assistance Loan,,,(Historic)Public sector management adjustment,,,,
